photo_id,site,depth,net,preservation_method,family,subgroup,standard_length,caudal_fin_length,stage,damaged,not_calibrated
EZ01_5_E_002_MUL,1,100,5,ethanol,mullid,A,5.23,0.71,FLE,,
EZ01_5_E_002_MUL,1,100,5,ethanol,mullid,A,6.22,0.37,FLE,,
EZ01_5_E_003_SER,1,100,5,ethanol,serranid,D,3.62,0.3,FLE,,
EZ01_5_E_004_LAB,1,100,5,ethanol,labrid,H,4.22,1.15,POS,,
EZ01_5_E_004_LAB,1,100,5,ethanol,labrid,J,4.73,1.07,POS,,
EZ01_5_F_001_TRI,1,100,5,formalin,triglid,A,3.65,0.24,FLE,,
EZ01_5_F_002_SCO,1,100,5,formalin,scorpaenid,A,2.23,0,PRE,,
EZ01_5_F_002_SCO,1,100,5,formalin,scorpaenid,A,2.28,0,PRE,,
EZ01_5_F_002_SCO,1,100,5,formalin,scorpaenid,A,1.59,0,PRE,,
EZ01_5_F_003_MUL,1,100,5,formalin,mullid,A,5.04,0.96,FLE,,
EZ01_5_F_003_MUL,1,100,5,formalin,mullid,A,4.57,0.86,FLE,,
EZ01_5_F_003_MUL,1,100,5,formalin,mullid,A,2.41,0,PRE,,
EZ01_5_F_004_POM,1,100,5,formalin,pomacentrid,A,2.81,0,PRE,,
EZ01_5_F_004_POM,1,100,5,formalin,pomacentrid,A,2.52,0,PRE,,
EZ01_5_F_004_POM,1,100,5,formalin,pomacentrid,A,2.7,0,PRE,,
EZ01_5_F_004_POM,1,100,5,formalin,pomacentrid,A,2.49,0,PRE,,
EZ01_5_F_004_POM,1,100,5,formalin,pomacentrid,A,2.53,0,PRE,,
EZ01_5_F_005_SER,1,100,5,formalin,serranid,B,3.24,0,PRE,,
EZ01_5_F_005_SER,1,100,5,formalin,serranid,B,3.96,0.34,FLE,,
EZ01_5_F_005_SER,1,100,5,formalin,serranid,D,2.39,0,PRE,,
EZ01_5_F_006_SYD,1,100,5,formalin,synodontid,A,4.64,0,PRE,,
EZ01_5_F_006_SYD,1,100,5,formalin,synodontid,A,2.98,0,PRE,,
EZ01_5_F_006_SYD,1,100,5,formalin,synodontid,A,3.43,0,PRE,,
EZ01_5_F_007_LAB_MUL,1,100,5,formalin,labrid,D,3.31,1,PRE,,
EZ01_5_F_007_LAB_MUL,1,100,5,formalin,labrid,F,3.53,2,PRE,,
EZ01_5_F_007_LAB_MUL,1,100,5,formalin,labrid,D,2.85,3,PRE,,
EZ01_5_F_007_LAB_MUL,1,100,5,formalin,labrid,B,1.83,4,PRE,,
EZ01_5_F_007_LAB_MUL,1,100,5,formalin,mullid,A,2.13,5,PRE,,
N01_1_E_001_BOT,1,0,1,ethanol,bothid,A,5.32,0.63,FLE,,
N01_1_E_001_BOT,1,0,1,ethanol,bothid,A,6.03,0.31,FLE,,
N01_1_E_002_MUL,1,0,1,ethanol,mullid,A,15.08,2.61,POS,,
N01_1_E_002_MUL,1,0,1,ethanol,mullid,A,19.86,3.18,POS,,
N01_1_E_002_MUL,1,0,1,ethanol,mullid,A,13.36,1.65,POS,,
N01_1_E_003_SYD,1,0,1,ethanol,synodontid,A,9.96,0.4,FLE,,
N01_1_E_004_LAB,1,0,1,ethanol,labrid,B,4.77,0.32,FLE,,
N01_1_E_004_LAB,1,0,1,ethanol,labrid,C,4.89,0.92,FLE,,
N01_1_E_005_SCA,1,0,1,ethanol,scarid,A,4.36,0.35,FLE,,
N01_1_E_005_SCA,1,0,1,ethanol,scarid,A,5.32,0.45,FLE,,
N01_1_F_001_SYD,1,0,1,formalin,synodontid,A,NA,NA,PRE,,TRUE
N01_1_F_002_SYD,1,0,1,formalin,synodontid,A,NA,NA,PRE,,TRUE
N01_1_F_003_LAB,1,0,1,formalin,labrid,A,NA,NA,FLE,,TRUE
N01_1_F_004_LAB,1,0,1,formalin,labrid,F,NA,NA,PRE,,TRUE
N01_2_E_001_MUL,1,0,2,ethanol,mullid,A,14.7,2.84,POS,,
N01_2_E_001_MUL,1,0,2,ethanol,mullid,A,13.07,2.56,POS,,
N01_2_E_002_BOT,1,0,2,ethanol,bothid,A,5.66,0,PRE,,
N01_2_E_003_SYN,1,0,2,ethanol,synodontid,A,10.14,0,FLE,,
N01_2_E_003_SYN,1,0,2,ethanol,synodontid,A,8.94,0.47,FLE,,
N01_2_E_005_SCA,1,0,2,ethanol,scarid,A,6.21,1.09,POS,,
N01_2_E_005_SCA,1,0,2,ethanol,scarid,A,4.72,0.58,POS,,
N01_2_E_006_TRI,1,0,2,ethanol,triglid,A,3.8,0.43,FLE,,
N01_2_F_002_SCA,1,0,2,formalin,scarid,A,4.71,0.18,FLE,,
N01_2_F_002_SCA,1,0,2,formalin,scarid,A,4.16,0.16,FLE,,
N01_2_F_002_SCA,1,0,2,formalin,scarid,A,5.3,0.86,FLE,,
N01_2_F_003_SCO,1,0,2,formalin,scorpaenid,A,3.57,0.88,FLE,,
N01_2_F_004_MUL,1,0,2,formalin,mullid,A,3.56,0,PRE,,
N01_2_F_005_SER,1,0,2,formalin,serranid,C,3.83,0,PRE,,
N01_2_F_005_SER,1,0,2,formalin,serranid,C,2.62,0,PRE,,
N01_2_F_005_SER,1,0,2,formalin,serranid,C,2.81,0,PRE,,
N01_2_F_005_SER,1,0,2,formalin,serranid,NA,NA,NA,NA,TRUE,
N01_2_F_006_POM,1,0,2,formalin,pomacentrid,A,2.88,0,PRE,,
