Order,Family,Species,Occurrence,FishBase name,Name
Perciformes,Caesionidae,Pterocaesio digramma,native ,Double-lined fusilier ,Doubleline fusilier 
Perciformes,Callanthiidae,Callanthias allporti,native ,Splendid sea perch ,Rosy perch 
Perciformes,Callanthiidae,Callanthias australis,native ,Magnificent splendid perch ,Splendid perch 
Perciformes,Callionymidae,Dactylopus dactylopus,native ,Fingered dragonet ,Fingered dragonet 
Perciformes,Callionymidae,Eocallionymus papilio,native ,Painted stinkfish ,Painted stinkfish 
Perciformes,Carangidae,Alectis ciliaris,native ,African pompano ,Pennantfish 
Perciformes,Carangidae,Alectis indica,native ,Indian threadfish ,Diamond trevally 
Perciformes,Carangidae,Atule mate,native ,Yellowtail scad ,Barred yellowtail scad 
Perciformes,Carangidae,Carangoides chrysophrys,native ,Longnose trevally ,Longnose trevally 
Perciformes,Carangidae,Carangoides coeruleopinnatus,native ,Coastal trevally ,Onion trevally 
Perciformes,Carangidae,Carangoides malabaricus,native ,Malabar trevally ,Malabar trevally 
Perciformes,Carangidae,Carangoides orthogrammus,native ,Island trevally ,Thicklip trevally 
Perciformes,Carangidae,Caranx ignobilis,native ,Giant trevally ,Giant trevally 
Perciformes,Carangidae,Caranx melampygus,native ,Bluefin trevally ,Bluefin trevally 
Perciformes,Carangidae,Caranx sexfasciatus,native ,Bigeye trevally ,Bigeye trevally 
Perciformes,Carangidae,Decapterus macrosoma,native ,Shortfin scad ,Slender scad 
Perciformes,Carangidae,Decapterus tabl,native ,Roughear scad ,Rough-ear scad 
Perciformes,Carangidae,Elagatis bipinnulata,native ,Rainbow runner ,Rainbow runner 
Perciformes,Carangidae,Megalaspis cordyla,native ,Torpedo scad ,Finny scad 
Perciformes,Carangidae,Naucrates ductor,native ,Pilotfish ,Pilotfish 
Perciformes,Carangidae,Pseudocaranx dentex,native ,White trevally ,Silver trevally 
Perciformes,Carangidae,Scomberoides lysan,native ,Doublespotted queenfish ,Lesser queenfish 
Perciformes,Carangidae,Seriola dumerili,native ,Greater amberjack ,Amberjack 
Perciformes,Carangidae,Seriola rivoliana,native ,Longfin yellowtail ,Highfin amberjack 
Perciformes,Carangidae,Seriolina nigrofasciata,native ,Blackbanded trevally ,Blackbanded amberjack 
Perciformes,Carangidae,Trachinotus baillonii,native ,Small spotted dart ,Smallspotted dart 
Perciformes,Carangidae,Trachinotus blochii,native ,Snubnose pompano ,Snubnose dart 
Ophidiiformes,Carapidae,Onuxodon fowleri,native ,Fowler's pearlfish ,Fowler's pearlfish 
Ophidiiformes,Carapidae,Onuxodon margaritiferae,native ,Bivalve pearlfish ,Cucumber pearlfish 
Carcharhiniformes,Carcharhinidae,Carcharhinus altimus,native ,Bignose shark ,Bignose shark 
Carcharhiniformes,Carcharhinidae,Carcharhinus brachyurus,native ,Copper shark ,Bronze whaler 
Carcharhiniformes,Carcharhinidae,Carcharhinus brevipinna,native ,Spinner shark ,Long-nose grey shark 
Carcharhiniformes,Carcharhinidae,Carcharhinus cautus,native ,Nervous shark ,Nervous shark 
Carcharhiniformes,Carcharhinidae,Carcharhinus falciformis,native ,Silky shark ,Silky shark 
Carcharhiniformes,Carcharhinidae,Carcharhinus galapagensis,native ,Galapagos shark ,Galapagos shark 
Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,native ,Bull shark ,Ngan.gu 
Carcharhiniformes,Carcharhinidae,Carcharhinus limbatus,native ,Blacktip shark ,Common blacktip shark 
Carcharhiniformes,Carcharhinidae,Carcharhinus obscurus,native ,Dusky shark ,Dusky whaler 
Carcharhiniformes,Carcharhinidae,Triaenodon obesus,native ,Whitetip reef shark ,Whitetip reef shark 
Syngnathiformes,Centriscidae,Aeoliscus strigatus,native ,Razorfish ,Jointed razorfish 
Syngnathiformes,Centriscidae,Centriscus scutatus,native ,Grooved razor-fish ,Grooved razorfish 
Perciformes,Chaetodontidae,Amphichaetodon howensis,native ,Lord Howe Island butterflyfish ,Lord Howe butterflyfish 
Perciformes,Chaetodontidae,Chaetodon aureofasciatus,native ,Golden butterflyfish ,Goldstripe butterflyfish 
Perciformes,Chaetodontidae,Chaetodon auriga,native ,Threadfin butterflyfish ,Threadfin butterflyfish 
Perciformes,Chaetodontidae,Chaetodon citrinellus,native ,Speckled butterflyfish ,Citron butterflyfish 
Perciformes,Chaetodontidae,Chaetodon ephippium,native ,Saddle butterflyfish ,Saddle butterflyfish 
Perciformes,Chaetodontidae,Chaetodon flavirostris,native ,Black butterflyfish ,Dusky butterflyfish 
Perciformes,Chaetodontidae,Chaetodon guentheri,native ,Crochet butterflyfish ,Gunther's butterflyfish 
Perciformes,Chaetodontidae,Chaetodon kleinii,native ,Sunburst butterflyfish ,Klein's butterflyfish 
Perciformes,Chaetodontidae,Chaetodon lineolatus,native ,Lined butterflyfish ,Lined butterflyfish 
Perciformes,Chaetodontidae,Chaetodon lunula,native ,Raccoon butterflyfish ,Racoon butterflyfish 
Perciformes,Chaetodontidae,Chaetodon lunulatus,native ,Oval butterflyfish ,Pinstripe butterflyfish 
Perciformes,Chaetodontidae,Chaetodon melannotus,native ,Blackback butterflyfish ,Blackback butterflyfish 
Perciformes,Chaetodontidae,Chaetodon mertensii,native ,Atoll butterflyfish ,Mertens' butterflyfish 
Perciformes,Chaetodontidae,Chaetodon pelewensis,native ,Sunset butterflyfish ,Dot-and-dash butterflyfish 
Perciformes,Chaetodontidae,Chaetodon plebeius,native ,Blueblotch butterflyfish ,Bluespot butterflyfish 
Perciformes,Chaetodontidae,Chaetodon tricinctus,native ,Three-striped butterflyfish ,Threeband butterflyfish 
Perciformes,Chaetodontidae,Chaetodon trifascialis,native ,Chevron butterflyfish ,Chevron butterflyfish 
Perciformes,Chaetodontidae,Chaetodon ulietensis,native ,Pacific double-saddle butterflyfish ,Doublesaddle butterflyfish 
Perciformes,Chaetodontidae,Chaetodon unimaculatus,native ,Teardrop butterflyfish ,Teardrop butterflyfish 
Perciformes,Chaetodontidae,Chaetodon vagabundus,native ,Vagabond butterflyfish ,Vagabond butterflyfish 
Perciformes,Chaetodontidae,Chelmon rostratus,native ,Copperband butterflyfish ,Beaked coralfish 
Perciformes,Chaetodontidae,Chelmonops truncatus,native ,Truncate coralfish ,Eastern talma 
Perciformes,Chaetodontidae,Coradion altivelis,native ,Highfin coralfish ,Highfin coralfish 
