Order,Family,Species,Occurrence,FishBase name,Name
Perciformes,Labridae,Pseudojuloides cerasinus,native ,Smalltail wrasse ,Candy wrasse 
Perciformes,Labridae,Pseudojuloides elongatus,native ,Long green wrasse ,Long green wrasse 
Perciformes,Labridae,Pseudolabrus guentheri,native ,Günther's wrasse ,Gunther's wrasse 
Perciformes,Labridae,Pseudolabrus rubicundus,native ,Rosy wrasse ,Rosy wrasse 
Perciformes,Labridae,Pteragogus enneacanthus,native ,Cockerel wrasse ,Cockerel wrasse 
Perciformes,Labridae,Stethojulis bandanensis,native ,Red shoulder wrasse ,Redspot wrasse 
Perciformes,Labridae,Stethojulis interrupta,native ,Cutribbon wrasse ,Brokeline wrasse 
Perciformes,Labridae,Stethojulis strigiventer,native ,Three-ribbon wrasse ,Silverstreak wrasse 
Perciformes,Labridae,Stethojulis trilineata,native ,Three-lined rainbowfish ,Three-ribbon wrasse 
Perciformes,Labridae,Suezichthys arquatus,native ,Rainbow slender wrasse ,Painted rainbow wrasse 
Perciformes,Labridae,Suezichthys aylingi,native ,Crimson cleaner fish ,Crimson cleaner wrasse 
Perciformes,Labridae,Suezichthys devisi,native ,Gracilis wrasse ,Australian rainbow wrasse 
Perciformes,Labridae,Suezichthys gracilis,native ,Slender wrasse ,Slender rainbow wrasse 
Perciformes,Labridae,Thalassoma amblycephalum,native ,Bluntheaded wrasse ,Bluehead wrasse 
Perciformes,Labridae,Thalassoma hardwicke,native ,Sixbar wrasse ,Sixbar wrasse 
Perciformes,Labridae,Thalassoma lunare,native ,Moon wrasse ,Moon wrasse 
Perciformes,Labridae,Thalassoma lutescens,native ,Yellow-brown wrasse ,Green moon wrasse 
Perciformes,Labridae,Thalassoma nigrofasciatum,native ,Blackbarred wrasse ,Blackbarred wrasse 
Perciformes,Labridae,Thalassoma purpureum,native ,Surge wrasse ,Surge wrasse 
Perciformes,Labridae,Thalassoma quinquevittatum,native ,Fivestripe wrasse ,Red-ribbon wrasse 
Perciformes,Labridae,Thalassoma trilobatum,native ,Christmas wrasse ,Ladder wrasse 
Perciformes,Lateolabracidae,Lateolabrax japonicus,not established ,Japanese seabass ,Japanese seaperch 
Perciformes,Lethrinidae,Gnathodentex aureolineatus,native ,Striped large-eye bream ,Goldspot seabream 
Perciformes,Lethrinidae,Gymnocranius euanus,native ,Japanese large-eye bream ,Paddletail seabream 
Perciformes,Lethrinidae,Lethrinus genivittatus,native ,Longspine emperor ,Threadfin emperor 
Perciformes,Lethrinidae,Lethrinus laticaudis,native ,Grass emperor ,Grass emperor 
Perciformes,Lethrinidae,Lethrinus miniatus,native ,Trumpet emperor ,Redthroat emperor 
Perciformes,Lethrinidae,Lethrinus nebulosus,native ,Spangled emperor ,Spangled emperor 
Perciformes,Lethrinidae,Lethrinus rubrioperculatus,native ,Spotcheek emperor ,Spotcheek emperor 
Perciformes,Lutjanidae,Aphareus furca,native ,Small toothed jobfish ,Smalltooth jobfish 
Perciformes,Lutjanidae,Aprion virescens,native ,Green jobfish ,Green jobfish 
Perciformes,Lutjanidae,Etelis coruscans,native ,Deepwater longtail red snapper ,Flame snapper 
Perciformes,Lutjanidae,Lutjanus adetii,native ,Yellow-banded snapper ,Hussar 
Perciformes,Lutjanidae,Lutjanus argentimaculatus,native ,Mangrove red snapper ,Mangrove jack 
Perciformes,Lutjanidae,Lutjanus fulviflamma,native ,Dory snapper ,Blackspot snapper 
Perciformes,Lutjanidae,Lutjanus fulvus,native ,Blacktail snapper ,Blacktail snapper 
Perciformes,Lutjanidae,Lutjanus gibbus,native ,Humpback red snapper ,Paddletail 
Perciformes,Lutjanidae,Lutjanus kasmira,native ,Common bluestripe snapper ,Bluestriped snapper 
Perciformes,Lutjanidae,Lutjanus malabaricus,native ,Malabar blood snapper ,Saddletail snapper 
Perciformes,Lutjanidae,Lutjanus quinquelineatus,native ,Five-lined snapper ,Fiveline snapper 
Perciformes,Lutjanidae,Lutjanus russellii,native ,Russell's snapper ,Moses' snapper 
Perciformes,Lutjanidae,Lutjanus sebae,native ,Emperor red snapper ,Red emperor 
Perciformes,Lutjanidae,Paracaesio xanthura,native ,Yellowtail blue snapper ,False fusilier 
Perciformes,Lutjanidae,Pristipomoides argyrogrammicus,native ,Ornate jobfish ,Ornate snapper 
Perciformes,Malacanthidae,Malacanthus brevirostris,native ,Quakerfish ,Flagtail blanquillo 
Perciformes,Malacanthidae,Malacanthus latovittatus,native ,Blue blanquillo ,Blue blanquillo 
Perciformes,Menidae,Mene maculata,native ,Moonfish ,Razor moonfish 
Perciformes,Microdesmidae,Ptereleotris heteroptera,native ,Blacktail goby ,
Perciformes,Microdesmidae,Ptereleotris microlepis,native ,Blue gudgeon ,
Tetraodontiformes,Monacanthidae,Acreichthys radiatus,native ,Radial leatherjacket ,
Tetraodontiformes,Monacanthidae,Acreichthys tomentosus,questionable ,Bristle-tail file-fish ,
Tetraodontiformes,Monacanthidae,Brachaluteres jacksonianus,native ,Pigmy leatherjacket ,Pigmy leatherjacket 
Tetraodontiformes,Monacanthidae,Cantherhines pardalis,native ,Honeycomb filefish ,Honeycomb leatherjacket 
Tetraodontiformes,Monacanthidae,Cantheschenia grandisquamis,native ,Large-scaled leatherjacket ,Large-scaled leatherjacket 
Tetraodontiformes,Monacanthidae,Monacanthus chinensis,native ,Fan-bellied leatherjacket ,Fan-bellied leatherjacket 
Tetraodontiformes,Monacanthidae,Pervagor janthinosoma,native ,Blackbar filefish ,
Tetraodontiformes,Monacanthidae,Pseudalutarius nasicornis,native ,Rhinoceros leatherjacket ,
Beryciformes,Monocentridae,Cleidopus gloriamaris,native ,Pineapplefish ,Australian pineapplefish 
Beryciformes,Monocentridae,Monocentris japonica,native ,Pineconefish ,Japanese pineapplefish 
Gadiformes,Moridae,Pseudophycis breviuscula,native ,Northern bastard codling ,Bastard red cod 
Mugiliformes,Mugilidae,Crenimugil crenilabis,native ,Fringelip mullet ,Wartylip mullet 
Mugiliformes,Mugilidae,Ellochelon vaigiensis,native ,Squaretail mullet ,Diamondscale mullet 
Mugiliformes,Mugilidae,Myxus elongatus,native ,Sand grey mullet ,Sand mullet 
Mugiliformes,Mugilidae,Oedalechilus labiosus,native ,Hornlip mullet ,Hornlip mullet 
Perciformes,Mullidae,Mulloidichthys flavolineatus,native ,Yellowstripe goatfish ,Yellowstripe goatfish 
Perciformes,Mullidae,Mulloidichthys vanicolensis,native ,Yellowfin goatfish ,Goldstripe goatfish 
Perciformes,Mullidae,Parupeneus barberinoides,native ,Bicolor goatfish ,Bicolour goatfish 
Perciformes,Mullidae,Parupeneus barberinus,native ,Dash-and-dot goatfish ,Dot-and-dash goatfish 
Perciformes,Mullidae,Parupeneus ciliatus,native ,Whitesaddle goatfish ,Diamondscale goatfish 
Perciformes,Mullidae,Parupeneus cyclostomus,native ,Gold-saddle goatfish ,Goldsaddle goatfish 
Perciformes,Mullidae,Parupeneus multifasciatus,native ,Manybar goatfish ,Banded goatfish 
Perciformes,Mullidae,Parupeneus pleurostigma,native ,Sidespot goatfish ,Sidespot goatfish 
Perciformes,Mullidae,Parupeneus spilurus,native ,Blackspot goatfish ,Blacksaddle goatfish 
Perciformes,Mullidae,Upeneus moluccensis,native ,Goldband goatfish ,Goldband goatfish 
Perciformes,Mullidae,Upeneus tragula,native ,Freckled goatfish ,Bartail goatfish 
Anguilliformes,Muraenidae,Echidna nebulosa,native ,Starry moray ,Starry moray 
Anguilliformes,Muraenidae,Echidna polyzona,native ,Barred moray ,Girdled moray 
Anguilliformes,Muraenidae,Enchelycore ramosa,native ,Mosaic moray ,Mosaic moray 
Anguilliformes,Muraenidae,Gymnothorax chilospilus,native ,Lipspot moray ,Lipspot moray 
Anguilliformes,Muraenidae,Gymnothorax cribroris,native ,Sieve-patterned moray ,Sieve moray 
Anguilliformes,Muraenidae,Gymnothorax eurostus,native ,Abbott's moray eel ,Stout moray 
Anguilliformes,Muraenidae,Gymnothorax favagineus,native ,Laced moray ,Tessellate moray 
Anguilliformes,Muraenidae,Gymnothorax kidako,native ,Kidako moray ,Kidako moray 
Anguilliformes,Muraenidae,Gymnothorax melatremus,native ,Dwarf moray ,Dwarf moray 
Anguilliformes,Muraenidae,Gymnothorax meleagris,native ,Turkey moray ,Whitemouth moray 
Anguilliformes,Muraenidae,Gymnothorax nudivomer,native ,Yellowmouth moray ,Yellowmouth moray 
Anguilliformes,Muraenidae,Gymnothorax obesus,native ,Griffin's moray ,Speckled moray 
Anguilliformes,Muraenidae,Gymnothorax prasinus,native ,Yellow moray ,Green moray 
Anguilliformes,Muraenidae,Gymnothorax prionodon,native ,Australian mottled moray ,Sawtooth moray 
Anguilliformes,Muraenidae,Gymnothorax pseudothyrsoideus,native ,Highfin moray ,Highfin moray 
Anguilliformes,Muraenidae,Gymnothorax thyrsoideus,native ,Greyface moray ,Greyface moray 
Anguilliformes,Muraenidae,Gymnothorax undulatus,native ,Undulated moray ,Undulate moray 
Myliobatiformes,Myliobatidae,Aetobatus narinari,native ,Spotted eagle ray ,Walbuulbul 
Myliobatiformes,Myliobatidae,Manta birostris,native ,Giant manta ,Manta ray 
Myliobatiformes,Myliobatidae,Mobula japanica,questionable ,Spinetail mobula ,Japanese devilray 
Myliobatiformes,Myliobatidae,Myliobatis australis,native ,Australian bull ray ,Southern eagle ray 
Myliobatiformes,Myliobatidae,Rhinoptera neglecta,native ,Australian cownose ray ,Australian cownose ray 
Perciformes,Nemipteridae,Pentapodus aureofasciatus,native ,Yellowstripe threadfin bream ,Yellowstripe threadfin bream 
Perciformes,Nemipteridae,Scolopsis bilineata,native ,Two-lined monocle bream ,Two-line monocle bream 
Perciformes,Nemipteridae,Scolopsis monogramma,native ,Monogrammed monocle bream ,Rainbow monocle bream 
Scorpaeniformes,Neosebastidae,Neosebastes incisipinnis,native ,Incised gurnard perch ,Incised gurnard perch 
Scorpaeniformes,Neosebastidae,Neosebastes scorpaenoides,native ,Ruddy gurnard perch ,Common gurnard perch 
Perciformes,Odacidae,Heteroscarus acroptilus,native ,Rainbow cale ,Rainbow cale 
Lamniformes,Odontaspididae,Carcharias taurus,native ,Sand tiger shark ,Greynurse shark 
Anguilliformes,Ophichthidae,Echelus uropterus,native ,Finned worm eel ,Finned snake eel 
Anguilliformes,Ophichthidae,Leiuranus semicinctus,native ,Saddled snake-eel ,Culverin 
Anguilliformes,Ophichthidae,Myrichthys colubrinus,native ,Harlequin snake eel ,Harlequin snake eel 
Anguilliformes,Ophichthidae,Myrichthys maculosus,native ,Tiger snake eel ,Ocellate snake eel 
Anguilliformes,Ophichthidae,Scolecenchelys breviceps,native ,Short-headed worm eel ,Shorthead worm eel 
Anguilliformes,Ophichthidae,Scolecenchelys macroptera,native ,Narrow worm eel ,Narrow worm eel 
Perciformes,Opistognathidae,Opistognathus jacksoniensis,native ,Smiler ,Southern smiler 
Orectolobiformes,Orectolobidae,Orectolobus maculatus,native ,Spotted wobbegong ,Spotted wobbegong 
Orectolobiformes,Orectolobidae,Orectolobus ornatus,native ,Ornate wobbegong ,Banded wobbegong 
Tetraodontiformes,Ostraciidae,Lactoria diaphana,native ,Roundbelly cowfish ,Roundbelly cowfish 
Orectolobiformes,Parascylliidae,Parascyllium collare,native ,Collared carpetshark ,Collar carpetshark 
Gasterosteiformes,Pegasidae,Eurypegasus draconis,native ,Short dragonfish ,Little dragonfish 
Perciformes,Pempheridae,Pempheris analis,native ,Bronze sweeper ,Bronze bullseye 
Perciformes,Pempheridae,Pempheris compressa,native ,Small-scale bullseye ,Smallscale bullseye 
Perciformes,Pempheridae,Pempheris oualensis,native ,Silver sweeper ,Oualan bullseye 
Perciformes,Pentacerotidae,Evistias acutirostris,native ,Striped boarfish ,Striped boarfish 
Perciformes,Pentacerotidae,Histiopterus typus,native ,Sailfin armourhead ,Threebar boarfish 
Perciformes,Pentacerotidae,Pentaceropsis recurvirostris,native ,Longsnout boarfish ,Longsnout boarfish 
Scorpaeniformes,Platycephalidae,Platycephalus indicus,native ,Bartail flathead ,Bartail flathead 
Perciformes,Plesiopidae,Paraplesiops bleekeri,native ,Eastern blue devil ,Eastern blue devil 
Perciformes,Plesiopidae,Paraplesiops poweri,native ,Northern blue devil ,Northern blue devil 
Perciformes,Plesiopidae,Plesiops insularis,native ,Island longfin ,Island longfin 
Siluriformes,Plotosidae,Plotosus lineatus,native ,Striped eel catfish ,Striped catfish 
Polymixiiformes,Polymixiidae,Polymixia berndti,native ,Pacific beardfish ,Berndt's beardfish 
Perciformes,Pomacanthidae,Centropyge bicolor,native ,Bicolor angelfish ,Bicolor angelfish 
Perciformes,Pomacanthidae,Centropyge bispinosa,native ,Twospined angelfish ,Coral beauty 
Perciformes,Pomacanthidae,Centropyge fisheri,native ,Orange angelfish ,Whitetail angelfish 
Perciformes,Pomacanthidae,Centropyge tibicen,native ,Keyhole angelfish ,Keyhole angelfish 
Perciformes,Pomacanthidae,Centropyge vrolikii,native ,Pearlscale angelfish ,Pearlscale angelfish 
Perciformes,Pomacanthidae,Chaetodontoplus ballinae,endemic ,Ballina angelfish ,Ballina angelfish 
Perciformes,Pomacanthidae,Chaetodontoplus conspicillatus,native ,Conspicuous angelfish ,Conspicuous angelfish 
Perciformes,Pomacanthidae,Chaetodontoplus meredithi,native ,Queensland yellowtail angelfish ,Queensland yellowtail angelfish 
Perciformes,Pomacanthidae,Pomacanthus imperator,native ,Emperor angelfish ,Emperor angelfish 
Perciformes,Pomacanthidae,Pomacanthus semicirculatus,native ,Semicircle angelfish ,Blue angelfish 
Perciformes,Pomacanthidae,Pygoplites diacanthus,native ,Regal angelfish ,Regal angelfish 
Perciformes,Pomacentridae,Abudefduf bengalensis,native ,Bengal sergeant ,Bengal sergeant 
Perciformes,Pomacentridae,Abudefduf sexfasciatus,native ,Scissortail sergeant ,Scissortail sergeant 
Perciformes,Pomacentridae,Abudefduf sordidus,native ,Blackspot sergeant ,Blackspot sergeant 
Perciformes,Pomacentridae,Abudefduf vaigiensis,native ,Indo-Pacific sergeant ,Indo-pacific sergeant 
Perciformes,Pomacentridae,Abudefduf whitleyi,native ,Whitley's sergeant ,Whitle's sergeant 
Perciformes,Pomacentridae,Amphiprion akindynos,native ,Barrier reef anemonefish ,Barrier reef anemonefish 
Perciformes,Pomacentridae,Amphiprion latezonatus,native ,Wide-band Anemonefish ,Wideband anemonefish 
Perciformes,Pomacentridae,Amphiprion mccullochi,native ,Whitesnout anemonefish ,McCulloch's Anemonefish 
Perciformes,Pomacentridae,Amphiprion melanopus,native ,Fire clownfish ,Blackback anemonefish 
Perciformes,Pomacentridae,Chromis abyssicola,native ,Deepsea chromis ,Deepsea puller 
Perciformes,Pomacentridae,Chromis chrysura,native ,Stout chromis ,Stoutbody puller 
Perciformes,Pomacentridae,Chromis flavomaculata,native ,Yellow-spotted chromis ,Yellowspot puller 
Perciformes,Pomacentridae,Chromis fumea,native ,Smokey chromis ,Smoky puller 
Perciformes,Pomacentridae,Chromis hypsilepis,native ,Brown puller ,Onespot puller 
Perciformes,Pomacentridae,Chromis margaritifer,native ,Bicolor chromis ,Whitetail puller 
Perciformes,Pomacentridae,Chromis nitida,native ,Barrier reef chromis ,Yellowback puller 
Perciformes,Pomacentridae,Chromis vanderbilti,native ,Vanderbilt's chromis ,Vanderbilt's puller 
Perciformes,Pomacentridae,Chromis weberi,native ,Weber's chromis ,Weber's puller 
Perciformes,Pomacentridae,Chrysiptera brownriggii,native ,Surge damselfish ,Surge demoiselle 
Perciformes,Pomacentridae,Chrysiptera cyanea,native ,Sapphire devil ,Blue demoiselle 
Perciformes,Pomacentridae,Chrysiptera flavipinnis,native ,Yellowfin damselfish ,Yellowfin demoiselle 
Perciformes,Pomacentridae,Chrysiptera glauca,native ,Grey demoiselle ,Grey demoiselle 
Perciformes,Pomacentridae,Chrysiptera notialis,native ,Southern demoiselle ,Southern demoiselle 
Perciformes,Pomacentridae,Chrysiptera rex,native ,King demoiselle ,Pink demoiselle 
Perciformes,Pomacentridae,Chrysiptera rollandi,native ,Rolland's demoiselle ,Bluehead demoiselle 
Perciformes,Pomacentridae,Chrysiptera starcki,native ,Starck's demoiselle ,Starck's demoiselle 
Perciformes,Pomacentridae,Chrysiptera tricincta,native ,Threeband damselfish ,Threeband demoiselle 
Perciformes,Pomacentridae,Dascyllus aruanus,native ,Whitetail dascyllus ,Banded humbug 
Perciformes,Pomacentridae,Dascyllus trimaculatus,native ,Threespot dascyllus ,Threespot humbug 
Perciformes,Pomacentridae,Mecaenichthys immaculatus,native ,Immaculate damsel ,Immaculate damsel 
Perciformes,Pomacentridae,Neoglyphidodon polyacanthus,native ,Multispine damselfish ,Multispine damsel 
Perciformes,Pomacentridae,Neopomacentrus azysron,native ,Yellowtail demoiselle ,Yellowtail demoiselle 
Perciformes,Pomacentridae,Neopomacentrus bankieri,native ,Chinese demoiselle ,Chinese demoiselle 
Perciformes,Pomacentridae,Neopomacentrus cyanomos,native ,Regal demoiselle ,Regal demoiselle 
Perciformes,Pomacentridae,Parma microlepis,native ,White-ear scalyfin ,White-ear 
Perciformes,Pomacentridae,Parma oligolepis,native ,Big-scale parma ,Bigscale scalyfin 
Perciformes,Pomacentridae,Parma polylepis,native ,Banded parma ,Banded scalyfin 
Perciformes,Pomacentridae,Parma unifasciata,native ,Girdled scalyfin ,Girdled scalyfin 
Perciformes,Pomacentridae,Plectroglyphidodon johnstonianus,native ,Johnston Island damsel ,Johnston damsel 
Perciformes,Pomacentridae,Plectroglyphidodon lacrymatus,native ,Whitespotted devil ,Jewel damsel 
Perciformes,Pomacentridae,Plectroglyphidodon leucozonus,native ,Singlebar devil ,Whiteband damsel 
Perciformes,Pomacentridae,Pomacentrus amboinensis,native ,Ambon damsel ,Ambon damsel 
Perciformes,Pomacentridae,Pomacentrus australis,native ,Australian damsel ,Australian damsel 
Perciformes,Pomacentridae,Pomacentrus bankanensis,native ,Speckled damselfish ,Speckled damsel 
Perciformes,Pomacentridae,Pomacentrus chrysurus,native ,Whitetail damsel ,Whitetail damsel 
Perciformes,Pomacentridae,Pomacentrus coelestis,native ,Neon damselfish ,Neon damsel 
Perciformes,Pomacentridae,Pomacentrus nagasakiensis,native ,Nagasaki damsel ,Blue-scribbled damsel 
Perciformes,Pomacentridae,Pomacentrus pavo,native ,Sapphire damsel ,Peacock damsel 
Perciformes,Pomacentridae,Pomacentrus wardi,native ,Ward's damsel ,Ward's damsel 
Perciformes,Pomacentridae,Pristotis obtusirostris,native ,Gulf damselfish ,Gulf damsel 
Perciformes,Pomacentridae,Stegastes apicalis,native ,Australian gregory ,Yellowtip gregory 
Perciformes,Pomacentridae,Stegastes fasciolatus,native ,Pacific gregory ,Pacific gregory 
Perciformes,Pomacentridae,Stegastes gascoynei,native ,Coral sea gregory ,Coral Sea gregory 
Perciformes,Priacanthidae,Cookeolus japonicus,native ,Longfinned bullseye ,Longfin bigeye 
Perciformes,Priacanthidae,Heteropriacanthus cruentatus,native ,Glasseye ,Blotched bigeye 
Perciformes,Priacanthidae,Priacanthus hamrur,native ,Moontail bullseye ,Lunartail bigeye 
Perciformes,Priacanthidae,Priacanthus macracanthus,native ,Red bigeye ,Spotted bigeye 
Perciformes,Pseudochromidae,Cypho purpurascens,native ,Oblique-lined dottyback ,Lavender dottyback 
Perciformes,Pseudochromidae,Pseudochromis cyanotaenia,native ,Surge dottyback ,Yellowhead dottyback 
Perciformes,Pseudochromidae,Pseudoplesiops howensis,native ,Lord Howe Dottyback ,Lord Howe Dottyback 
Perciformes,Rachycentridae,Rachycentron canadum,native ,Cobia ,Cobia 
Rajiformes,Rhinobatidae,Rhina ancylostoma,native ,Bowmouth guitarfish ,Shark ray 
Rajiformes,Rhinobatidae,Rhynchobatus djiddensis,questionable ,Giant guitarfish ,Mirbuy 
Perciformes,Scaridae,Calotomus carolinus,native ,Carolines parrotfish ,Star-eye parrotfish 
Perciformes,Scaridae,Chlorurus microrhinos,native ,Steephead parrots ,Steephead parrotfish 
Perciformes,Scaridae,Chlorurus sordidus,native ,Daisy parrotfish ,Greenfin parrotfish 
Perciformes,Scaridae,Leptoscarus vaigiensis,native ,Marbled parrotfish ,Marbled parrotfish 
Perciformes,Scaridae,Scarus altipinnis,native ,Filament-finned parrotfish ,Mini-fin parrotfish 
Perciformes,Scaridae,Scarus chameleon,native ,Chameleon parrotfish ,Chameleon parrotfish 
Perciformes,Scaridae,Scarus ghobban,native ,Blue-barred parrotfish ,Bluebarred parrotfish 
Perciformes,Scaridae,Scarus rivulatus,native ,Rivulated parrotfish ,Surf parrotfish 
Perciformes,Scaridae,Scarus rubroviolaceus,native ,Ember parrotfish ,Blackvein parrotfish 
Perciformes,Scatophagidae,Scatophagus argus,native ,Spotted scat ,Spotted scat 
Perciformes,Scombridae,Grammatorcynus bicarinatus,native ,Shark mackerel ,Shark mackerel 
Scorpaeniformes,Scorpaenidae,Caracanthus maculatus,native ,Spotted coral croucher ,Spotted croucher 
Scorpaeniformes,Scorpaenidae,Dendrochirus brachypterus,native ,Shortfin turkeyfish ,Dwarf lionfish 
Scorpaeniformes,Scorpaenidae,Dendrochirus zebra,native ,Zebra turkeyfish ,Zebra lionfish 
Scorpaeniformes,Scorpaenidae,Pterois antennata,native ,Broadbarred firefish ,Spotfin lionfish 
Scorpaeniformes,Scorpaenidae,Pterois volitans,native ,Red lionfish ,Common lionfish 
Scorpaeniformes,Scorpaenidae,Scorpaena cardinalis,native ,Eastern red scorpionfish ,Cook's scorpionfish 
Scorpaeniformes,Scorpaenidae,Scorpaena jacksoniensis,native ,,Eastern Red scorpionfish 
Scorpaeniformes,Scorpaenidae,Scorpaenodes guamensis,native ,Guam scorpionfish ,Guam scorpionfish 
Scorpaeniformes,Scorpaenidae,Scorpaenodes hirsutus,native ,Hairy scorpionfish ,Hairy scorpionfish 
Scorpaeniformes,Scorpaenidae,Scorpaenodes scaber,native ,Pygmy scorpionfish ,Pygmy scorpionfish 
Scorpaeniformes,Scorpaenidae,Scorpaenopsis diabolus,native ,False stonefish ,False stonefish 
Scorpaeniformes,Scorpaenidae,Scorpaenopsis macrochir,native ,Flasher scorpionfish ,Humpback scorpionfish 
Scorpaeniformes,Scorpaenidae,Scorpaenopsis papuensis,native ,Papuan scorpionfish ,Papua scorpionfish 
Carcharhiniformes,Scyliorhinidae,Asymbolus analis,native ,Australian spotted catshark ,Grey spotted catshark 
Perciformes,Serranidae,Acanthistius cinctus,native ,Yellowbanded perch ,Yellowbanded wirrah 
Perciformes,Serranidae,Acanthistius ocellatus,native ,Eastern wirrah ,Eastern wirrah 
Perciformes,Serranidae,Acanthistius paxtoni,endemic ,Orangelined wirrah ,Orangelined wirrah 
Perciformes,Serranidae,Aulacocephalus temminckii,native ,Goldribbon soapfish ,Goldribbon cod 
Perciformes,Serranidae,Caprodon longimanus,native ,Pink maomao ,Longfin perch 
Perciformes,Serranidae,Cromileptes altivelis,native ,Humpback grouper ,Barramundi cod 
Perciformes,Serranidae,Diploprion bifasciatum,native ,Barred soapfish ,Barred soapfish 
Perciformes,Serranidae,Epinephelus coeruleopunctatus,native ,Whitespotted grouper ,Whitespotted grouper 
Perciformes,Serranidae,Epinephelus coioides,native ,Orange-spotted grouper ,Goldspotted rockcod 
Perciformes,Serranidae,Epinephelus corallicola,native ,Coral grouper ,Coral grouper 
Perciformes,Serranidae,Epinephelus cyanopodus,native ,Speckled blue grouper ,Purple rockcod 
Perciformes,Serranidae,Epinephelus daemelii,native ,Saddletail grouper ,Black rockcod 
Perciformes,Serranidae,Epinephelus fasciatus,native ,Blacktip grouper ,Blacktip rockcod 
Perciformes,Serranidae,Epinephelus lanceolatus,native ,Giant grouper ,Queensland groper 
Perciformes,Serranidae,Epinephelus maculatus,native ,Highfin grouper ,Highfin grouper 
Perciformes,Serranidae,Epinephelus malabaricus,native ,Malabar grouper ,Blackspotted rockcod 
Perciformes,Serranidae,Epinephelus merra,native ,Honeycomb grouper ,Birdwire rockcod 
Perciformes,Serranidae,Epinephelus morrhua,native ,Comet grouper ,Comet grouper 
Perciformes,Serranidae,Epinephelus quoyanus,native ,Longfin grouper ,Longfin rockcod 
Perciformes,Serranidae,Epinephelus rivulatus,native ,Halfmoon grouper ,Chinaman rockcod 
Perciformes,Serranidae,Epinephelus tauvina,native ,Greasy grouper ,Greasy rockcod 
Perciformes,Serranidae,Epinephelus undulatostriatus,native ,Maori grouper ,Maori rockcod 
Perciformes,Serranidae,Hypoplectrodes annulatus,native ,Blackbanded seaperch ,Blackbanded seaperch 
Perciformes,Serranidae,Hypoplectrodes maccullochi,native ,Half-banded seaperch ,Halfbanded seaperch 
Perciformes,Serranidae,Hypoplectrodes nigroruber,native ,Black-banded sea perch ,Banded seaperch 
Perciformes,Serranidae,Lepidoperca caesiopercula,native ,Greycheek basslet ,Greycheek basslet 
Perciformes,Serranidae,Pseudanthias hypselosoma,native ,Stocky anthias ,Pink basslet 
Perciformes,Serranidae,Pseudanthias pictilis,native ,Painted anthias ,Painted basslet 
Perciformes,Serranidae,Pseudanthias squamipinnis,native ,Sea goldie ,Orange basslet 
Perciformes,Serranidae,Variola louti,native ,Yellow-edged lyretail ,Yellowedge coronation trout 
Pleuronectiformes,Soleidae,Pardachirus pavoninus,native ,Peacock sole ,Peacock sole 
Syngnathiformes,Solenostomidae,Solenostomus armatus,native ,Armored pipefish ,Longtail ghostpipefish 
Syngnathiformes,Solenostomidae,Solenostomus cyanopterus,native ,Ghost pipefish ,Robust ghostpipefish 
Syngnathiformes,Solenostomidae,Solenostomus paradoxus,native ,Harlequin ghost pipefish ,Ornate ghostpipefish 
Perciformes,Sparidae,Pagrus auratus,native ,Silver seabream ,Snapper 
Perciformes,Sparidae,Rhabdosargus sarba,native ,Goldlined seabream ,Tarwhine 
Perciformes,Sphyraenidae,Sphyraena obtusata,native ,Obtuse barracuda ,Striped barracuda 
Orectolobiformes,Stegostomatidae,Stegostoma fasciatum,native ,Zebra shark ,Zebra shark 
Scorpaeniformes,Synanceiidae,Erosa erosa,native ,Pitted stonefish ,Pacific monkeyfish 
Scorpaeniformes,Synanceiidae,Inimicus caledonicus,native ,Chinese ghoul ,Demon stingerfish 
Scorpaeniformes,Synanceiidae,Synanceia horrida,native ,Estuarine stonefish ,Estuarine stonefish 
Syngnathiformes,Syngnathidae,Heraldia nocturna,native ,Upside-down pipefish ,Upside-down pipefish 
Syngnathiformes,Syngnathidae,Hippocampus minotaur,native ,Bullneck seahorse ,Bullneck seahorse 
Syngnathiformes,Syngnathidae,Histiogamphelus briggsii,native ,Briggs' pipefish ,Crested pipefish 
Syngnathiformes,Syngnathidae,Idiotropiscis lumnitzeri,native ,Sydney's pygmy pipehorse ,Sydney's pygmy pipehorse 
Syngnathiformes,Syngnathidae,Phyllopteryx taeniolatus,native ,Common seadragon ,Common seadragon 
Syngnathiformes,Syngnathidae,Syngnathoides biaculeatus,native ,Alligator pipefish ,Double-end pipehorse 
Syngnathiformes,Syngnathidae,Trachyrhamphus bicoarctatus,native ,Double-ended pipefish ,Bentstick pipefish 
Aulopiformes,Synodontidae,Saurida nebulosa,native ,Clouded lizardfish ,Clouded saury 
Aulopiformes,Synodontidae,Saurida tumbil,native ,Greater lizardfish ,Common saury 
Aulopiformes,Synodontidae,Saurida undosquamis,native ,Brushtooth lizardfish ,Grey saury 
Aulopiformes,Synodontidae,Synodus dermatogenys,native ,Sand lizardfish ,Banded lizardfish 
Aulopiformes,Synodontidae,Synodus jaculum,native ,Lighthouse lizardfish ,Tailspot lizardfish 
Aulopiformes,Synodontidae,Synodus myops,native ,Snakefish ,Painted grinner 
Aulopiformes,Synodontidae,Synodus variegatus,native ,Variegated lizardfish ,Variegated lizardfish 
Perciformes,Terapontidae,Pelates quadrilineatus,native ,Fourlined terapon ,Fourline striped grunter 
