HABITAT,PATCH_NUM,REGION,,,,,,,,,,
Other,172,QLD,,,,,,,,,,
Reef,173,QLD,,,,,,,,,,
Other,174,QLD,,,,,,,,,,
Reef,175,QLD,,,,,,,,,,
Reef,176,QLD,,,,,,,,,,
Other,177,QLD,,,,,,,,,,
Other,178,QLD,,,,,,,,,,
Reef,179,QLD,,,,,,,,,,
Other,180,QLD,,,,,,,,,,
Reef,181,QLD,,,,,,,,,,
Other,182,QLD,,,,,,,,,,
Reef,183,QLD,,,,,,,,,,
Other,184,QLD,,,,,,,,,,
Reef,185,QLD,,,,,,,,,,
Reef,186,QLD,,,,,,,,,,
Other,187,QLD,,,,,,,,,,
Other,188,QLD,,,,,,,,,,
Reef,189,QLD,,,,,,,,,,
Other,190,QLD,,,,,,,,,,
Other,191,QLD,,,,,,,,,,
Other,192,QLD,,,,,,,,,,
Other,193,QLD,,,,,,,,,,
Other,194,QLD,,,,,,,,,,
Other,195,QLD,,,,,,,,,,
Other,196,QLD,,,,,,,,,,
Other,197,QLD,,,,,,,,,,
Other,198,QLD,,,,,,,,,,
Other,199,QLD,,,,,,,,,,
Other,200,QLD,,,,,,,,,,
Reef,204,NSW01,,,,,,,,,,
Other,205,NSW01,,,,,,,,,,
Reef,206,NSW01,,,,,,,,,,
Other,208,NSW01,,,,,,,,,,
Reef,210,NSW01,,,,,,,,,,
Other,212,NSW01,,,,,,,,,,
Reef,213,NSW01,,,,,,,,,,
Other,218,NSW01,,,,,,,,,,
Reef,221,NSW01,,,,,,,,,,
Reef,223,NSW01,,,,,,,,,,
Other,226,NSW02,,,,,,,,,,
Reef,227,NSW02,,,,,,,,,,
Reef,228,NSW02,,,,,,,,,,
Reef,229,NSW02,,,,,,,,,,
Other,235,NSW02,,,,,,,,,,
Other,236,NSW02,,,,,,,,,,
Reef,237,NSW02,,,,,,,,,,
Reef,243,NSW02,,,,,,,,,,
Other,244,NSW02,,,,,,,,,,
Other,248,NSW03,,,,,,,,,,
Reef,250,NSW03,,,,,,,,,,
Reef,251,NSW03,,,,,,,,,,
Reef,252,NSW03,,,,,,,,,,
Other,255,NSW03,,,,,,,,,,
Reef,256,NSW03,,,,,,,,,,
Reef,258,NSW03,,,,,,,,,,
Other,260,NSW03,,,,,,,,,,
Reef,261,NSW03,,,,,,,,,,
Other,263,NSW03,,,,,,,,,,
Other,267,NSW04,,,,,,,,,,
Reef,268,NSW04,,,,,,,,,,
Reef,270,NSW04,,,,,,,,,,
Reef,271,NSW04,,,,,,,,,,
Other,274,NSW04,,,,,,,,,,
Reef,276,NSW04,,,,,,,,,,
Reef,278,NSW04,,,,,,,,,,
Other,279,NSW04,,,,,,,,,,
Reef,283,NSW04,,,,,,,,,,
Other,285,NSW04,,,,,,,,,,
Reef,288,NSW04,,,,,,,,,,
Other,289,NSW04,,,,,,,,,,
Reef,293,NSW04,,,,,,,,,,
Other,296,NSW04,,,,,,,,,,
Other,299,NSW04,,,,,,,,,,
Reef,300,NSW04,,,,,,,,,,
Reef,302,NSW04,,,,,,,,,,
Other,304,NSW04,,,,,,,,,,
Reef,306,NSW05,,,,,,,,,,
Reef,308,NSW05,,,,,,,,,,
Other,310,NSW05,,,,,,,,,,
Reef,311,NSW05,,,,,,,,,,
Reef,314,NSW05,,,,,,,,,,
Other,317,NSW05,,,,,,,,,,
Reef,318,NSW05,,,,,,,,,,
Reef,320,NSW05,,,,,,,,,,
Other,321,NSW05,,,,,,,,,,
Reef,323,NSW05,,,,,,,,,,
Reef,327,NSW05,,,,,,,,,,
Other,330,NSW05,,,,,,,,,,
Reef,331,NSW05,,,,,,,,,,
Other,333,NSW05,,,,,,,,,,
Reef,335,NSW05,,,,,,,,,,
Reef,339,NSW05,,,,,,,,,,
Reef,340,NSW05,,,,,,,,,,
Other,344,NSW05,,,,,,,,,,
Reef,345,NSW05,,,,,,,,,,
Other,346,NSW05,,,,,,,,,,
Reef,350,NSW05,,,,,,,,,,
Reef,351,NSW05,,,,,,,,,,
Reef,352,NSW05,,,,,,,,,,
Other,355,NSW05,,,,,,,,,,
Reef,357,NSW06,,,,,,,,,,
Reef,358,NSW06,,,,,,,,,,
Other,360,NSW06,,,,,,,,,,
Reef,363,NSW06,,,,,,,,,,
Other,364,NSW06,,,,,,,,,,
Other,367,NSW06,,,,,,,,,,
Reef,369,NSW06,,,,,,,,,,
Reef,373,NSW06,,,,,,,,,,
Reef,376,NSW06,,,,,,,,,,
Other,378,NSW06,,,,,,,,,,
Reef,379,NSW06,,,,,,,,,,
Reef,381,NSW06,,,,,,,,,,
Other,383,NSW06,,,,,,,,,,
Other,386,NSW06,,,,,,,,,,
Reef,389,NSW06,,,,,,,,,,
Reef,391,NSW06,,,,,,,,,,
Other,394,NSW06,,,,,,,,,,
Reef,395,NSW06,,,,,,,,,,
Other,399,NSW06,,,,,,,,,,
Reef,400,NSW06,,,,,,,,,,
Reef,402,NSW06,,,,,,,,,,
Other,403,NSW06,,,,,,,,,,
Reef,408,NSW07,,,,,,,,,,
Other,410,NSW07,,,,,,,,,,
Other,415,NSW07,,,,,,,,,,
Reef,417,NSW07,,,,,,,,,,
Reef,419,NSW07,,,,,,,,,,
Other,422,NSW07,,,,,,,,,,
Reef,425,NSW07,,,,,,,,,,
Other,429,NSW07,,,,,,,,,,
Other,430,NSW07,,,,,,,,,,
Reef,431,NSW07,,,,,,,,,,
Other,435,NSW07,,,,,,,,,,
Reef,438,NSW07,,,,,,,,,,
Other,440,NSW07,,,,,,,,,,
Other,444,NSW07,,,,,,,,,,
Reef,446,NSW07,,,,,,,,,,
Reef,448,NSW07,,,,,,,,,,
Other,450,NSW07,,,,,,,,,,
Reef,452,NSW08,,,,,,,,,,
Reef,454,NSW08,,,,,,,,,,
Other,458,NSW08,,,,,,,,,,
Other,459,NSW08,,,,,,,,,,
Reef,462,NSW08,,,,,,,,,,
Reef,464,NSW08,,,,,,,,,,
Reef,466,NSW08,,,,,,,,,,
Other,467,NSW08,,,,,,,,,,
Reef,470,NSW08,,,,,,,,,,
Other,472,NSW08,,,,,,,,,,
Reef,474,NSW08,,,,,,,,,,
Other,477,NSW08,,,,,,,,,,
Other,479,NSW08,,,,,,,,,,
Reef,482,NSW08,,,,,,,,,,
Other,485,NSW08,,,,,,,,,,
Reef,487,NSW08,,,,,,,,,,
Reef,489,NSW08,,,,,,,,,,
Reef,491,NSW08,,,,,,,,,,
Other,494,NSW08,,,,,,,,,,
Reef,495,NSW08,,,,,,,,,,
Reef,496,NSW08,,,,,,,,,,
Other,497,NSW08,,,,,,,,,,
Reef,501,NSW08,,,,,,,,,,
Other,503,NSW08,,,,,,,,,,
Reef,505,NSW08,,,,,,,,,,
Other,508,NSW09,,,,,,,,,,
Reef,509,NSW09,,,,,,,,,,
Other,512,NSW09,,,,,,,,,,
Reef,515,NSW09,,,,,,,,,,
Reef,516,NSW09,,,,,,,,,,
Other,520,NSW09,,,,,,,,,,
Reef,521,NSW09,,,,,,,,,,
Reef,522,NSW09,,,,,,,,,,
Other,525,NSW09,,,,,,,,,,
Reef,526,NSW09,,,,,,,,,,
Reef,528,NSW09,,,,,,,,,,
Reef,530,NSW09,,,,,,,,,,
Other,533,NSW09,,,,,,,,,,
Reef,534,NSW09,,,,,,,,,,
Reef,536,NSW09,,,,,,,,,,
Other,537,NSW09,,,,,,,,,,
Reef,538,NSW09,,,,,,,,,,
Reef,541,NSW09,,,,,,,,,,
Other,542,NSW09,,,,,,,,,,
Other,546,NSW09,,,,,,,,,,
